N º 1;N º 2;N º 3;N º 4;N º 5;N º 6;
1;6;10;30;33;35;
9;15;23;25;29;30;
10;25;31;37;38;57;em branco está os 
20;23;32;36;39;57;números que não
25;38;45;53;55;56;se repetiram nos
12;20;22;25;26;55;últimos 100 sorteios
10;28;45;47;57;59;
2;8;28;34;41;49;
1;23;32;33;36;59;
6;15;19;20;33;52;
12;24;26;31;37;48;
9;22;27;30;33;45;
1;3;24;37;51;56;
28;36;39;44;56;60;
17;18;20;37;45;53;
10;14;17;18;23;30;
1;5;18;49;55;56;
14;17;18;28;30;44;
3;5;32;56;57;59;
8;19;29;38;48;56;
4;13;21;26;47;51;
3;20;22;37;41;43;
1;10;27;36;37;45;
4;5;25;32;39;40;
23;28;33;38;55;59;
2;17;22;41;58;60;
3;8;20;36;38;57;
3;22;23;44;53;60;
1;5;6;16;22;39;
3;12;19;41;45;54;
13;19;21;35;46;50;
7;10;34;47;49;52;
8;13;25;32;44;57;
8;37;39;50;59;60;
4;6;12;34;35;53;
3;5;19;26;43;51;
14;33;41;42;44;55;
3;14;16;38;43;45;
16;20;21;39;44;55;
5;16;25;32;39;55;
11;19;38;47;56;59;
9;12;26;29;46;47;
5;14;23;46;48;52;
7;26;31;38;46;58;
8;12;14;30;33;41;
1;4;10;22;53;54;
4;9;37;43;44;56;
10;30;31;33;42;52;
11;16;17;41;46;59;
3;10;13;25;41;42;
17;31;34;40;56;57;
23;36;42;48;54;58;
8;9;17;19;33;56;
5;12;32;38;47;60;
20;34;38;40;49;54;
1;32;35;44;45;57;
1;8;21;27;36;37;
4;6;9;31;50;56;
10;15;17;20;21;35;
2;17;23;28;39;46;
20;33;37;38;49;50;
2;7;32;46;49;55;
1;40;44;45;58;60;
22;30;38;39;49;56;
15;18;28;42;55;60;
5;13;18;23;35;36;
8;23;29;30;36;55;
5;28;30;38;52;55;
22;35;41;42;53;57;
1;10;19;34;35;45;
;;;;;;
;;;;;;
;;;;;;
28;40;45;56;59;60;Máx
1;3;6;16;21;30;Mín 
;;;;;;
1;5;32;38;33 & 49;56; Números com mais repetições 
11;5;5;7;5;8;Quantidade de repetições 
